#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 370144:9031 | 07/04/23 21:36:05 | 1328 | 1328 | 0.406429161    | 0.391834686   |
| 370169:9035 | 07/05/23 11:04:40 | 1330 | 1330 | 0.541467958    | 0.505985453   |
| 370172:9035 | 07/05/23 21:07:28 | 300  | 300  | 0.080313009    | 0.075691765   |
| 370175:9036 | 07/06/23 01:38:22 | 1693 | 1693 | 0.718909081    | 0.685001510   |
| 370293:9043 | 07/07/23 11:09:51 | 1580 | 1580 | 0.683748824    | 0.651227917   |
| 370294:9043 | 07/07/23 21:26:42 | 668  | 668  | 0.182662594    | 0.176074950   |
| 370300:9044 | 07/08/23 04:08:22 | 962  | 962  | 0.444691354    | 0.423261189   |
| 370304:9044 | 07/08/23 10:50:38 | 327  | 327  | 0.126850789    | 0.120790985   |
| 370307:9044 | 07/08/23 13:04:05 | 708  | 708  | 0.211223914    | 0.203834408   |
| 370321:9045 | 07/08/23 19:41:08 | 14   | 14   | 0.001884129    | 0.001703717   |
| 370332:9045 | 07/08/23 20:20:38 | 1966 | 1966 | 0.753888359    | 0.717563154   |
| 370340:9046 | 07/09/23 10:57:13 | 756  | 756  | 0.352769857    | 0.334021262   |
| 370354:9049 | 07/09/23 19:08:47 | 278  | 278  | 0.118085440    | 0.113435716   |
| 370357:9049 | 07/09/23 22:29:47 | 801  | 801  | 0.336665165    | 0.323184998   |
| 370406:9050 | 07/10/23 12:29:29 | 825  | 825  | 0.372652097    | 0.354597936   |
| 370436:9050 | 07/10/23 17:55:30 | 31   | 31   | 0.011444544    | 0.010621808   |
| 370460:9055 | 07/11/23 03:20:19 | 116  | 116  | 0.034561000    | 0.033210161   |
| 370472:9056 | 07/11/23 07:22:18 | 42   | 42   | 0.009908433    | 0.009771442   |
| 370497:9057 | 07/11/23 09:38:34 | 1429 | 1429 | 0.607734227    | 0.578802382   |
| 370522:9059 | 07/11/23 23:55:53 | 322  | 322  | 0.140253050    | 0.133665494   |
| 370560:9062 | 07/12/23 12:37:34 | 348  | 348  | 0.153174142    | 0.146562417   |
| 370579:9063 | 07/12/23 17:39:39 | 85   | 85   | 0.025707279    | 0.024655762   |
| 370580:9063 | 07/12/23 18:17:16 | 2875 | 2875 | 0.966659310    | 0.920510303   |
| 370667:9066 | 07/14/23 08:10:37 | 101  | 101  | 0.040469782    | 0.037785903   |
| 370717:9067 | 07/15/23 01:10:34 | 119  | 119  | 0.038234667    | 0.036525276   |
| 370725:9068 | 07/15/23 05:13:53 | 412  | 412  | 0.183740055    | 0.173681172   |
| 370749:9070 | 07/15/23 17:21:13 | 1490 | 1490 | 0.661454005    | 0.629573644   |
| 370753:9070 | 07/16/23 03:18:43 | 249  | 249  | 0.077767345    | 0.075000828   |
| 370772:9072 | 07/16/23 07:59:39 | 1219 | 1219 | 0.572692407    | 0.544246338   |
| 370774:9072 | 07/16/23 16:07:34 | 159  | 159  | 0.061213219    | 0.056310573   |
| 370775:9072 | 07/16/23 17:11:41 | 168  | 168  | 0.058824514    | 0.054542551   |
| 370776:9072 | 07/16/23 18:19:32 | 326  | 326  | 0.100211498    | 0.096389144   |
| 370790:9073 | 07/16/23 22:51:10 | 23   | 23   | 0.003441682    | 0.003039347   |
+-------------+-------------------+------+------+----------------+---------------+
#Summary: 
+-------+------+-------+-------+-------------------+------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/fb) | totrecorded(/fb) |
+-------+------+-------+-------+-------------------+------------------+
| 83    | 190  | 90754 | 90753 | 29.912130044      | 28.397263466     |
+-------+------+-------+-------+-------------------+------------------+
#Check JSON:
#(run,ls) in json but not in results: []
